"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX53",10.4129796783587,5.26277153165883,0.835908387554465,6.29587118638156,3.0567814333438e-10,5.33448936863184e-09
"NFAM1",9.3725462517311,3.31330220465972,0.931853548089255,3.55560400178073,0.000377111728599959,0.00202082698043239
"CRIP2",24.2226745393896,4.9326366481758,0.998149463037616,4.94178159768233,7.74119052032312e-07,7.64373347228472e-06
"GPR39",10.0159501306335,3.37234624821371,0.650388616114514,5.18512496168897,2.15870074510454e-07,2.34635473113568e-06
"MAGEA6",44.1982236728001,4.64841074998109,0.541184474117015,8.58932761802773,8.74797463861977e-18,3.6593043003487e-16
"UNC5A",5.6208927457355,4.79488066810718,1.37803846341704,3.47949697733227,0.00050235603621068,0.00259040818970946
"ALDH1A3",18.3020193325407,5.10087085210341,1.19302578139654,4.27557470395349,1.90644859322997e-05,0.000140805866136685
"SLC6A10P",7.25229800585268,5.54636436919533,0.954992723616087,5.80775563209945,6.33158363022694e-09,9.09481586177448e-08
"ZNF470",7.22742323665876,5.9761258100524,1.29842637678831,4.60259119568604,4.17266756621176e-06,3.58428768413112e-05
"STING1",5.7233975477385,4.44377851773204,0.99169276525248,4.4810032637484,7.42929751750359e-06,6.03258958421292e-05
"RTN4RL1",13.0543693582685,3.02291583960694,0.476026371760695,6.35031170316463,2.14879082860309e-10,3.852195921823e-09
"MRGPRG",5.91808374045426,5.5928619211017,1.01853501512505,5.49108458526095,3.99472968256869e-08,4.96338870730677e-07
"HOXB4",7.8433543659178,5.45506428027147,0.938840212918847,5.81042887299397,6.23130030925184e-09,8.9694337298136e-08
"RIPK4",14.1514509398382,5.5406436440945,1.35512493156468,4.08865892364409,4.33874249899183e-05,0.000294599121771191
"GPR173",4.56846324403171,3.08160444043185,0.891822786921816,3.45539998037974,0.000549477016901144,0.00279888588239978
"NPTXR",14.0949332889273,4.48679811981325,0.68321395965077,6.56719327296345,5.127248055164e-11,9.89881568580195e-10
"DCAF4L1",59.9298266860272,4.9126825054308,0.550255759575909,8.92799833520521,4.33786173495077e-19,2.03672936698165e-17
"APOBEC3B",26.0811520839725,3.10365796707662,0.666524561178709,4.65647951755594,3.21662264367341e-06,2.8372050462152e-05
"FAM9C",23.2494639802879,3.61690785188285,0.496817771107143,7.28014991054504,3.3344942824535e-13,8.49250167435205e-12
"LGMN",9.93475598815357,6.33621983040306,1.2585692527246,5.03446259845149,4.79191221390621e-07,4.89981897783418e-06
"ATP4B",11.985544513882,6.86571263474023,0.911318374437555,7.53382443207907,4.92753702535168e-14,1.36860605830895e-12
"DPPA4",243.270789241833,3.131548553471,0.945733631048292,3.31123738298262,0.000928843780807436,0.0044015652421098
"ARHGAP10",6.31391208752883,4.07386612669372,0.874390612795256,4.65909179156254,3.17607561117644e-06,2.80556382218756e-05
"SSX2",7.90453628559741,6.28905983615239,0.954370368331911,6.58974759154004,4.40574940486017e-11,8.54170853717553e-10
"MID1IP1",32.8720058385167,7.03698996948686,1.17655329730261,5.98102099209613,2.21743291971422e-09,3.40104933597057e-08
"DPYSL4",6.30976178077612,5.9135263761577,0.998537026919388,5.92219038126375,3.17681539734787e-09,4.74083889135027e-08
"SCOC",4.61874788924236,5.60114398545375,1.4751799861567,3.79692243523888,0.000146503604772213,0.000869821832376614
"MTSS2",72.5691509359756,3.91303833031097,0.485834340307707,8.054264603512,7.9958077090867e-16,2.75247206025518e-14
"IFI6",72.018454846085,4.47596100958436,0.937964462606328,4.77199423648417,1.8241072544997e-06,1.68090631115579e-05
"WNT7B",48.2601474686232,5.85621538008816,0.526310256584907,11.1269261938531,9.27799143496042e-29,9.48691805690323e-27
"CLEC18B",20.746957744944,4.24548646700506,0.617397751243175,6.87642036022398,6.13752206987003e-12,1.32378679144509e-10
"H3-5",2.41931695662448,3.43112163924639,1.09746423902001,3.12640860381039,0.00176955498474352,0.0076765986830294
"RTL6",10.5345430525441,4.14303582401751,0.827361223008229,5.00752961197977,5.51330716029742e-07,5.5795961906705e-06
"NANOS2",3.07264642297476,4.87769269166614,1.0961051705783,4.45002251845295,8.58612861638711e-06,6.87886938018617e-05
"SPMAP2",8.3124074188768,4.03102774227452,1.15965259623177,3.47606494856574,0.000508829042957607,0.00261987173031958
"EZHIP",20.5726266677396,7.72085851365703,0.878249281648384,8.79119251787576,1.47980740307274e-18,6.65383107231795e-17
"SPATA13",56.9094035729004,9.26233701759847,0.884860241500898,10.467570564463,1.21726932752045e-25,9.88422693946607e-24
"APOD",6.34666381030469,5.33326367790652,1.00364714183264,5.31388319222239,1.07313421885248e-07,1.23343420125226e-06
"NKAPL",5.8978952388075,5.4477952695031,0.991186582050231,5.49623589358378,3.87983441836905e-08,4.83805187996083e-07
"ABCG1",7.51360562348071,6.36200670429033,2.00018291401679,3.18071245369958,0.00146913371860391,0.00652507138082639
"DNAJA4",15.0407693394932,6.03541432291861,1.12984962024307,5.34178550382677,9.20355193919641e-08,1.07483782545404e-06
"SH3BP4",3.5578080301898,5.17573905970564,1.35230363532925,3.82734980849584,0.000129530371223996,0.000780802290120543
"SPATA31D1",6.99986072161139,6.24956029252875,0.945376251863198,6.61065928006102,3.82612192374549e-11,7.45985692590151e-10
"SRP72P2",3.72497037604387,4.31131548431756,1.00403978009364,4.2939687946582,1.75507153417886e-05,0.000130674258132713
"APOBEC3H",24.6115098092925,4.32475052046787,0.723059991395699,5.98117801002922,2.21529613197996e-09,3.40104933597057e-08
"CKB",83.6589350401649,4.53037843000062,0.936346255322018,4.83835803715858,1.30916153156377e-06,1.23693810963082e-05
"SUPT20H",12.2901138788679,-6.64366348818524,1.33371343254455,-4.98132756712961,6.31495396854356e-07,6.32136508932381e-06
"NRCAM",7.34786081853714,6.32012674137341,1.47353560513028,4.28908994079896,1.79406716294742e-05,0.000133218413756461
"ASS1",7.14770115061521,6.28091064945564,1.44487470160423,4.34702790662887,1.37994667684268e-05,0.000105241900149924
"FOSB",9.64950759933661,6.71174478932342,1.9540165140744,3.43484547903256,0.000592891795150145,0.00298369607737973
"H2AB2",4.14904565994415,3.85683398844706,0.918779302170143,4.19778066325316,2.69543499956161e-05,0.000191398069619076
