SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
427.559	401.566	399.476	513.353	514.468	456.455	480.971	554.431	466.745	497.855	489.68	513.352
1122.96	1079.99	979.344	966.608	778.438	1033.94	994.865	1123.63	1137.81	810.462	767.96	786.495
0.104421	0	0	0	0	0	0	0	0.173209	0	0	0
0	0	0	0	0	0	10.2745	0	0	0	0	0
384.605	450.923	422.318	449.037	422.546	385.097	418.014	372.091	365.794	438.135	457.949	394.003
838.939	909.575	800.477	807.479	888.894	638.57	822.171	733.766	727.046	1033.05	1030.34	1022.34
0	0	0.00592278	0.801624	0	1.4032	0	0	0	1.55858	1.14499	0
8.33567	0	2.54995	0	0	0	0	0	0	0	0	0
162.177	178.928	126.588	182.748	236.698	119.884	204.066	197.274	240.716	117.132	179.431	284.746
114.987	120.06	87.9635	100.362	98.2523	114.558	81.781	88.6325	69.8465	72.8239	85	75
645.185	795.289	828.426	530.369	637.06	522.956	667.592	632.788	649.383	604.856	526.512	536.598
1	0	1	0	0	0	0	1	3.99661	0	0	0
32.9648	91.573	0	78.2658	69.1619	4.94948	126.301	24.5848	104.414	137.513	8.40276	49.7825
1059.47	1165.06	1079.65	1674.87	1899.65	2429.56	1953.47	2141.96	2057.68	7055.04	5939.41	6078.62
515.794	559.297	521.921	822.064	827.555	827.848	501.705	541.182	570.568	549.613	582.624	525.876
0	0	0	0	0	0	0	2.10849e-08	0	2.79292e-08	0	1.54171e-08
645.226	644.819	623.829	443.234	446.949	603.514	645.48	606.074	687.17	551.557	584.278	518.162
1184.39	1928.02	275.951	1670.28	1354.47	4095.31	2104.15	1505.95	4012.54	2899.19	673.035	3391.52
3.27678	8.0663	4.47016	0	3.33925	6.62102	21.037	17.8827	26.8667	14.9237	11.0313	26.5145
266.319	254.978	287.011	350.201	428.771	279.901	261.449	243.303	151.525	235.781	249.344	250.397
6522.11	9042.88	8402.28	7776.69	10231.8	7529.38	8296.5	7719.09	7466.8	11420.7	10952.6	11489.4
3254.08	2759.55	3078.36	9102.11	9742.1	9900.81	4559.11	4284.73	4447.48	7859.14	8373.46	7225.59
0	0	2	0	1	0	0	0	0	1	0	0
115.393	65.8689	76.0023	85.6444	86.3792	128.936	113.267	105.114	108.978	44.6335	76.3633	95.585
45.1079	0	0	0	0	25.7475	0	0	0	14.9781	0	0
0	0	0	0	0	0	0	0	0	0	0	0
2290.49	2284.9	2144.16	2281.62	2130.86	2758.63	2913.76	2790.61	2974.36	3574.56	3301.09	3515.08
